Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Reino Barack,,,Pengusaha,,"Syahrini (istri, menikah tahun 2019)","Rosano Barack (ayah); Reiko Barack (ibu); Surya Paloh (paman); Prananda Surya Paloh (sepupu); Rangga Maya Barack (saudara, kakak, istri sutradara Gareth Evans)"
Surya Paloh,,,Ketua Umum Partai NasDem Ke-2; Anggota Majelis Permusyawaratan Rakyat; Direktur Utama Metro TV,,"Rosita Barack (istri, menikah tahun 1984)",Prananda Surya Paloh (anak); Muhammad Daud Paloh (ayah); Nursiah Paloh (ibu); Nova Harivan Paloh (keponakan); Reino Barack (keponakan); Rico Waas (keponakan); Jusuf Gading (kakak ipar)
Tifatul Sembiring,Sumatera Utara I,PKS,DPR RI; Menteri Komunikasi dan Informatika Indonesia ke-4; Presiden Partai Keadilan Sejahtera ke-3,SDN 10 Bukittinggi; SMPN 40 Jakarta; STM Pembangunan; Sekolah Tinggi Ilmu Manajemen Informatika dan Komputer,"Sri Rahayu Purwitaningsih (istri, Juga disebut Sri Rahayu, aktif menulis tentang kewanitaan)",Sabriana (anak); Fathan (anak); Ibrahim (anak); Yusuf (anak); Fatimah (anak); Muhammad (anak); Abdurrahman (anak)
Muhammad Lokot Nasution,Sumatera Utara I,Demokrat,DPR RI,SD Islam Azizi; SMP N 11 Medan; SMA N 3 Medan; Sekolah Tinggi Transportasi Darat; Institut Teknologi Budi Utomo,Evy Wahyuni Puspa Sari Wibowo (istri),"Nailan Adzima Nasution (anak, anak pertama); Tarikh Jihad Nasution (anak, anak kedua); Aiman Maliki Nasution (anak, anak bungsu)"
Marwan Dasopang,Sumatera Utara II,PKB,DPR RI,SD N Rondaman; Madrasah Tsanawiyah Ar Rosidia; Pesantren Al-Mukhtariyah; IAIN Sumatera Utara; Krisna Dwi Payana,Ismah Amrina (istri),
Gus Irawan Pasaribu,Sumatera Utara II,Gerindra,DPR RI; Bupati Tapanuli Selatan ke-22; Ketua DPD Partai Gerindra Sumatera Utara,SD Negeri 7 Padangsidimpuan; SMP Negeri 1 Medan; SMA Negeri 1 Medan; Universitas Syiah Kuala; Universitas Sumatera Utara,Asrida Murni Siregar (istri),"Bomer Pasaribu (saudara, abang); Panusunan Pasaribu (saudara, abang); Syahrul M Pasaribu (saudara, abang); Dolly Pasaribu (keponakan)"
Bomer Pasaribu,,,Duta Besar Indonesia untuk Denmark ke-11; Menteri Tenaga Kerja Indonesia ke-21; DPR RI; DPRD Provinsi Sumatera Utara,,,Panusunan Pasaribu (adik); Syahrul M Pasaribu (adik); Gus Irawan Pasaribu (adik); Dolly Pasaribu (keponakan)
Panusunan Pasaribu,,,Bupati Tapanuli Tengah ke-15,,"Hj. Isna Hirawati br. Siregar (istri, Juga disebut sebagai Isna Hirawati di teks artikel)","Dolly Pasaribu (anak, Putra, Bupati Tapanuli Selatan); Bomer Pasaribu (saudara, Abang, mantan Menteri Tenaga Kerja); Syahrul M. Pasaribu (saudara, Adik, Bupati Tapanuli Selatan); Gus Irawan Pasaribu (saudara, Adik, anggota DPR-RI)"
Syahrul M. Pasaribu,,,Bupati Tapanuli Selatan ke-20,,,"Bomer Pasaribu (saudara, abang); Panusunan Pasaribu (saudara, abang); Gus Irawan Pasaribu (saudara, adik); Dolly Pasaribu (keponakan, menggantikan jabatan sebagai Bupati Tapanuli Selatan)"
Dolly Putra Parlindungan Pasaribu,,,Bupati Tapanuli Selatan ke-21; DPRD Kabupaten Tapanuli Selatan,,,"Panusunan Pasaribu (ayah, mantan Bupati Tapanuli Tengah); Isna Hirawati br. Siregar (ibu); Bomer Pasaribu (saudara); Syahrul M. Pasaribu (saudara); Gus Irawan Pasaribu (saudara)"
Sabam Rajagukguk,Sumatera Utara II,Gerindra,DPR RI,SD TARAKANITA; American Embassy School; Valley Force Military Academy ,,"Adolf Sahala Rajagukguk (ayah, Letjen TNI); Chatrine Nainggolan (ibu)"
Adolf Sahala Rajagukguk,,,Wakil Kepala Staf TNI Angkatan Darat,,Katherina Nainggolan (istri),
Rapidin Simbolon,Sumatera Utara II,PDI-P,DPR RI; Ketua DPD PDI Perjuangan Sumatera Utara; Bupati Samosir ke-2; Wakil Bupati Samosir ke-3,SMA Negeri Pangururan Kab Taput; Institut Keguruan dan Ilmu Pendidikan Medan; Universitas Trisakti,Sorta Ertaty Siahaan (istri),
Sihar Sitorus,Sumatera Utara II,PDI-P,DPR RI,SD Jakarta; SMP Jakarta; SMA Pangudi Luhur; University of Arizona; Creighton University Ohama; Strathclyde University; Manchester Businees School,Patricia Ferrari Juanita Siahaan (istri),"D.L. Sitorus (ayah, tokoh Batak); br. Siagian (ibu)"
D.L. Sitorus,,,Pengusaha,,Boru Siagian (istri),
Lamhot Sinaga,Sumatera Utara II,Golkar,DPR RI,SD Bintang Kejora; SMP Santo Yosef; SMA Swasta Pribadi; Universitas Sultan Ageng Tirtayasa,,
Andar Amin Harahap,Sumatera Utara II,Golkar,DPR RI; Bupati Padang Lawas Utara ke-2; Wali Kota Padangsidimpuan ke-2,SD Negeri 26 Padangsidimpuan; SMP Negeri 4 Padangsidimpuan; SMA Negeri 2 Padangsidimpuan; SEKOLAH TINGGI ILMU PEMERINTAHAN DALAM NEGRI; INSTITUT PEMERINTAHAN DALAM NEGRI,Ade Aan Rostiani (istri),"Bachrum Harahap (ayah, mantan Bupati Padang Lawas Utara); Siti Aisyah Siregar (ibu); Reski Basyah Harahap (adik)"
Reski Basyah Harahap,,,Bupati Padang Lawas Utara Ke-3,,,"Bachrum Harahap (ayah); Siti Aisyah Siregar (ibu); Andar Amin Harahap (saudara, kakak)"
Bachrum Harahap,,,Bupati Padang Lawas Utara Ke-1; Ketua DPRD Tapanuli Selatan,,Siti Aisyah Siregar (istri),Andar Amin Harahap (anak); Reski Basyah Harahap (anak)
Trinovi Khairani Sitorus,Sumatera Utara II,Golkar,DPR RI,SD Al-Azhar Medan; SMP Shafiyyatul Amaliyah; SMA Shafiyyatul Amaliyah; Lim Kok Wing University ,,"Khairuddin Syah Sitorus (ayah, alias Buyung Sitorus, Bupati Labuhanbatu Utara dua periode); Ely Zarwati (ibu); Hendri Yanto Sitorus (kakak); Erni Ariyanti (kakak)"
Hendri Yanto Sitorus,,,Bupati Labuhanbatu Utara ke-2,,dr. Ramadhona Sihotang (istri),"Khairuddin Syah Sitorus (ayah, mantan Bupati Labuhanbatu Utara); Ely Zarwati (ibu)"
Khairuddin Syah Sitorus,,,Bupati Labuhanbatu Utara 1,,Ely Zarwati (istri),Hendri Yanto Sitorus (anak); Erni Ariyanti Sitorus (anak); Trinovi Khairani Sitorus (anak)
Martin Manurung,Sumatera Utara II,NasDem,DPR RI,SD Tarakanita 2; SMP Tarakanita 1; SMA Negeri 37 Jakarta; Universitas Indonesia; Universitas East Anglia,Wasty Kurnia Evasari (istri),
Saleh Partaonan Daulay,Sumatera Utara II,PAN,DPR RI,"SDN 2 Sibuhuan; MTsN YAPI Sibuhuan; MAN I Medan; 
Universitas Sumatera Utara; UIN Syahid Jakarta; Universitas Indonesia; Colorado State University",Wirdah Rahmi (istri),
Sabam Sinaga,Sumatera Utara II,Demokrat,DPR RI,SDN 030285 Sidikalang; SMPN 1 Sidikalang; SMAN 1 Sidikalang; IKIP Medan; STIE Nusantara,,
Sugiat Santoso,Sumatera Utara III,Gerindra,DPR RI,SDN 2 KUALA; SMPN 1 KUALA; SMAN 1 KUALA; STIE AL HIKMAH MEDAN; Universitas Sumatera Utara,Rini Nilma (istri),
Bob Andika Mamana Sitepu,Sumatera Utara III,PDI-P,DPR RI,SD Methodist Binjai; SMP Methodist Binjai ; SMA Methodist Binjai; Universitas Pembangunan Panca Budi ,Tasya Farrera Bangun (istri),
Bane Raja Manalu,Sumatera Utara III,PDI-P,DPR RI,SD Inpres Sintanauli; SMP Pembangunan Saribu Jawa; SMA 3 Pemantang Siantar; Universitas Indonesia,,"Tidak disebutkan namanya (ayah, Meninggal dunia saat Bane masih SMP); Tidak disebutkan namanya (ibu, Bane membantu ibunya berjualan di Pasar Pagi Parluasan)"
Ahmad Doli Kurnia,Sumatera Utara III,Golkar,DPR RI,SD Bhayangkari Medan; SMPN 1 Medan; SMAN 1 Medan; Universitas Padjadjaran; Institut Teknologi Bandung,Yanti Sunanti (istri),
Delia Pratiwi Sitepu,Sumatera Utara III,Golkar,DPR RI,SD Swasta Ahmad Yani; SMP Swasta Ahmad Yani; SMA AL AZHAR; Universitas Muhammadiyah Sumatera Utara,Reza Dofit Meliala (suami),Ngogesa Sitepu (ayah); Nuraida (ibu); Rizky Yunanda Sitepu (adik)
Ngogesa Sitepu,,,Bupati Langkat ke-14,,Hj. Nuraida (istri),Delia Pratiwi Sitepu (anak); Rizky Yunanda Sitepu (anak); H. Ngaring Sitepu (ayah); Hj. Anggapen br. Bangun (ibu)
Rizky Yunanda Sitepu,,,Wakil Wali Kota Binjai Ke-5; DPRD Provinsi Sumatera Utara,,"Winda Widya Sebayang, S.E. (istri)","Ngogesa Sitepu (ayah, Bupati Langkat periode 2009-2019); Delia Pratiwi Sitepu (kakak)"
Mangihut Sinaga,Sumatera Utara III,Golkar,DPR RI,SDN Kp Juhar; SMPN Kp Juhar; SMPS Pematang Siantar; Universitas Tridharma Balikpapan; Universitas Airlangga,,
Rudi Hartono Bangun,Sumatera Utara III,NasDem,DPR RI; Ketua DPRD Kabupaten Langkat,SD Swasta Ahamad Yani; SMP Swasta Ahamad Yani; SMA Taman Siswa Binjai;  STIE Taman Harapan; Universitas Medan Area ,Ervina Faryani (istri),"Saleh Bangun (ayah, mantan Ketua DPRD Sumatera Utara); Supiah Etty (ibu)"
Ansory Siregar,Sumatera Utara III,PKS,DPR RI,SDN NAGASARIBU PALUTA; SMPN LUMUT TAPTENG; Pondok Modern Darussalam Gontor Ponorogo; Damaskus syria,Anita Zaharah Harahap (istri),Nurullah Al-Mufti Siregar (anak); Muhammad Musthofa Siregar (anak)
Nasril Bahar,Sumatera Utara III,PAN,DPR RI,SD Muhammadiyah 01 Medan; SMP Mualimin Muhammadiyah; SMA Negeri 6 Medan; Universitas Muhammadiyah Sumatera Utara,Kilopatra (istri),Muhammad Faisal (anak); Imam Firdaus (anak); Dina Kharina (anak); Muhammad Rais Haq (anak)
Hinca Panjaitan,Sumatera Utara III,Demokrat,DPR RI; Sekretaris Jenderal Partai Demokrat; Ketua Umum PSSI; Wakil Ketua Umum PSSI,SD Negeri Aek Songsongan Bandar; SD Negeri Gambir Baru Kisaran Asahan; SMP Negeri I Kisaran Asahan; SMA Negeri I Kisaran Asahan; Universitas HKBP Nommensen; Universitas Padjajaran; Universitas Pelita Harapan ,Engelbertha E.P. Silalahi (istri),Sangil Songsongan Pandjaitan XII (ayah); Nurianna Orem Siagian (ibu)
Rico Alviano,Sumatera Barat I,PKB,DPR RI; DPRD Provinsi Sumatera Barat,SDN 15 PETANG JAKARTA; SMP PERSADA JAKARTA; SMK N 2 SAWAH LUNTO; UNIVERSITAS ISLAM SUMATERA UTARA,"Desni Seswinari (istri, maju sebagai calon wakil wali kota Sawahlunto 2024)",Bazar Latif Yulizar (ayah); Yasry (ibu)
Andre Rosiade,Sumatera Barat I,Gerindra,DPR RI; Ketua DPD Partai Gerindra Sumatera Barat,YOS SUDARSO PADANG; YOS SUDARSO PADANG; SMA 2 PADANG; UNIVERSITAS TRISAKTI,Nurul Anastasia (istri),"Nurul Azizah ""Salsha"" Rosiade (anak, putri, lahir 2003); Muhammad Ammar Tsaqif Rosiade (anak, putra); Yanziwar Ade (ayah); Rosita Yurnetty (ibu); Pratama Arhan (menantu, suami dari putri Nurul Azizah)"
Nurul Anastasia,,,Artis,,,
Pratama Arhan,,,Pemain Sepak Bola,,"Azizah Salsha (istri, putri anggota DPR RI, Andre Rosiade; menikah Agustus 2023; dalam proses perceraian per Agustus 2025)",
Alex Indra Lukman,Sumatera Barat I,PDI-P,DPR RI,Agnes Padang; Frater Padang; Don Bosco Padang; Farank Furt Am Main Jerman; Universitas Mustopo Jakarta,"Cynthia Hardi (istri, pernah mencalonkan diri sebagai anggota DPRD Sumatera Barat pada 2014)","Nicholas Axel Lukman (anak); Anindya Aisyah Lukman (anak); Abinaya Artha Lukman (anak); Johanes Lukman (ayah, mantan anggota DPR RI periode 1999–2004); E. Junita Virgo (ibu); Albert Hendra Lukman (saudara, saudara kandung, anggota DPRD Sumatera Barat)"
Zigo Rolanda,Sumatera Barat I,Golkar,DPR RI; Ketua DPRD Kabupaten Solok Selatan; DPRD Provinsi Sumatera Barat,SD Negeri 10 Rimbo Tangah; MTs Negeri Lubuk Gadang; SMA Negeri 3 Solok Selatan; Universitas Andalas; STIE AKBP,Almira Widya Arnoli (Dea Arnoli) (istri),"Khairunas (ayah, Bupati Solok Selatan dua periode sejak 2021 hingga 2030)"
Khairunas,,,Bupati Solok Selatan ke-3; Anggota DPRD Sumatera Barat; Ketua DPRD Kabupaten Solok Selatan; Anggota DPRD Kabupaten Solok,,Hj. Erniati (istri),"Yogi Pratama, S.E. (anak); Zigo Rolanda (anak); Zilga Ekha Regina (anak); Muhammad Iqra Chissa (menantu); Bustami (ayah)"
Lisda Hendrajoni,Sumatera Barat I,NasDem,DPR RI,SDN 02 Tj.Aman; SMP Negeri 5 Kotabumi; SMA Negeri 1 Kotabumi; Universitas Surapati; Sekolah Tinggi Manajemen Transportasi Trisakti; Universitas Negeri Padang,"Hendrajoni (suami, Bupati Pesisir Selatan periode 2016–2021 dan 2025–2030)",H. Anshori (ayah); Hj. Rachmawati (ibu)
Hendrajoni,,,Bupati Pesisir Selatan ke-16 dan ke-18,,Lisdawati Ansori (istri),
Muhammad Shadiq Pasadigoe,Sumatera Barat I,NasDem,DPR RI; Bupati Tanah Datar ke-10,SD NEGERI 4 BATUSANGKAR; SMP NEGERI 1 BATASUNGKUR; SMA NEGERI 1 BATUSANGKAR; UNIVERSITAS ANDALAS,"Betti Shadiq Pasadigoe (istri, nama asli Betti Zulfina, mantan anggota DPR-RI periode 2014–2019 dari Partai Golkar)","Mohamad Saleh Kari Sutan (Pakiah Saliah) (ayah, pejuang perlawanan kolonial Belanda); Asiah binti Syekh H.M. Said (ibu); Picer Nikander Muhammad (anak); Nabila Mira Miranda (anak, wafat pada 2021 dalam usia 24 tahun); Nadiah Firzana Muti (anak); Naura Ghassani Muti (anak); Nausilla Hasanah Muti (anak)"
Betti Shadiq Pasadigoe,,,DPR RI,,"M. Shadiq Pasadigoe (suami, mantan Bupati Tanah Datar)",
Rahmat Saleh,Sumatera Barat I,PKS,DPR RI; Anggota DPRD Sumatera Barat,SMP Negeri 7 Kotanopan; SMA Negeri 1 Koto XI Tarusan; Universitas Andalas; ,"Maesaroh (istri, Menikah pada 2007)","Bismar (ayah, Berprofesi sebagai buruh dan penjaga sekolah); Susanti (ibu)"
Athari Gauthi Ardi,Sumatera Barat I,PAN,DPR RI,SD Muhammadiyah 24 Jakarta; SMP Islam Al-Azhar 12 Rawamangun Jakarta; SMA Negeri 70 Jakarta; Universitas Bina Nusantara; Universitas Pelita Harapan; Universitas Bung Karno; Universitas Wiraswasta Indonesia,,"Epyardi Asda (ayah, pengusaha dan politikus, Bupati Solok); Emiko (ibu)"
Epyardi Asda,,,Bupati Solok ke-17; DPR RI,,Emiko (istri),"Athari Gauthi Ardi (anak, termasuk dari 6 anak); Asfar Panduko Sutan (ayah); Rosida (ibu); Lastuti Darni (adik)"
Ade Rezki Pratama,Sumatera Barat II,Gerindra,DPR RI,Universitas Wiraswasta Indonesia; SMP Negeri 6 Bukittinggi; SMA Negeri 2 Bukittinggi; Universitas Trisakti; ,Intan Febrina Syahdati (istri),Irdinansyah Tarmizi (mertua); Prinselia Ghaida Adzkiana (anak); Nelson Septiadi (ayah); Emiyarti (ibu)
Irdinansyah Tarmizi,,,Bupati Tanah Datar ke-11; Wakil Bupati Tanah Datar ke-5,,Hj. Darmiyati Anwar (istri),Tarmizi Kadir (ayah); Elmi Halim (ibu); dr. Suci Yaumi Syahdati (anak); drg. Intan Febrina Syahdati (anak); Ade Rezki Pratama (menantu)
Nelson Septiadi,,,Pengusaha,,,"Ade Rezki Pratama (anak, anggota termuda DPR-RI periode 2014-2019)"
Benny Utama,Sumatera Barat II,Golkar,DPR RI; Bupati Pasaman ke-16 dan ke-18; DPRD Provinsi Sumatera Barat; Wakil Bupati Pasaman ke-1,SD Negeri 2 Lubuk Sikaping; SMEP Negeri Lubuk Sikaping; Sekolah Menengah Pembangunan Persiapan (SMPP) 35 Jakarta;  Universitas Muhammadiyah Sumatera Barat; Universitas Negeri Padang,drg. Susi Andam Dewi (istri),Rudolf Dahlan (ayah)
Cindy Monica Salsabila Setiawan,Sumatera Barat II,NasDem,DPR RI,TK DEK Padang; SD Pembangunan Jaya Jakarta; SMP Tunas Indonesia Jakarta; SMA Don Bosco Padang; Universitas Andalas,,"Roni Setiawan (ayah, pengusaha tambak udang di Padang Pariaman); Lisa Febrisari (ibu)"
Nevi Zuairina,Sumatera Barat II,PKS,DPR RI,SD 01 Pagi Rawamangun Jakarta; SLTP Negeri 74 Jakarta; SMA Negeri 31 Jakarta; Universitas Indonesia; Universitas Andalas; Universitas Negeri Padang,"Irwan Prayitno (suami, Gubernur Sumatera Barat periode 2010–2015 dan 2016–2021, serta Anggota DPR-RI sejak 1999 hingga 2010)","Drs. H. Zulchair Narun (ayah, pensiunan Departemen Perindustrian Republik Indonesia, berasal dari daerah Salido, IV Jurai, Pesisir Selatan dengan Suku Jambak); Hj. Elbiza Rose (ibu, berasal dari Indarung, Lubuk Kilangan, Padang dengan Suku Sepanjang)"
Irwan Prayitno,,,Rektor Universitas Adzkia; Gubernur Sumatera Barat ke-9; DPR RI,,"Nevi Zuairina (istri, mahasiswi kimia UI yang dinikahi pada 1985)","Djamrul Djamal (ayah, berasal dari Nagari Simabur, Tanah Datar, berprofesi sebagai dosen); Sudarni Sayuti (ibu, berasal dari Nagari Pauh IX (Kecamatan Kuranji, Padang), berprofesi sebagai dosen); Adib Alfikri (adik)"
Arisal Aziz,Sumatera Barat II,PAN,DPR RI,SMA Setia Dharma Pekanbaru,Hj. Putri Lenggogeni (istri),
Mulyadi,Sumatera Barat II,Demokrat,DPR RI,SD Negeri 19 Bukit Apit; SMP Negeri Gadut Kab. Agam; SMA Negeri 11 Bandung; Akademi Teknik Pekerjaan Umum; Universitas Trisakti,,
Iyeth Bustami,Riau I,PKB,DPR RI,SD Negeri 02 Bengkalis; SMP Negeri 1 Bengkalis;  Paket C Kelompok Belajar Cerdas,"Eka Sapta Nugraha (suami, menikah tahun 2003)","Zaviena Bintang Nugraha (anak, anak pertama, perempuan); Maula Lovieka Nugraha (anak, anak kedua, perempuan); Kayra Safwa Nugraha (anak, anak bungsu, perempuan); Adham Bustami bin Abdul Hamid (ayah)"
Muhammad Rahul,Riau I,Gerindra,DPR RI; Ketua DPD Partai Gerindra Riau,SD Islam 020 Sukajadi; SMP Negeri 32 Pekanbaru; SMA Negeri 5 Pekanbaru; Universitas Esa Unggul,,Muhammad Nasir (ayah)
Muhammad Nasir,,,DPR RI,,,
Dewi Juliani,Riau I,PDI-P,DPR RI,SD Ignatius Slamet Riyadi Bandung; SMP BPI Bandung; SMA Negeri 20 Bandung; Universitas Batanghari,Toni Hermawan (suami),
Syamsuar,Riau I,Golkar,DPR RI; Gubernur Riau ke-13; Bupati Siak ke-2; Wakil Bupati Siak ke-1; Bupati Kepulauan Meranti; Ketua DPD I Partai Golkar Riau,Akademi Pemerintahan Dalam Negeri; Universitas Sumatera Utara; Universitas Riau,Hj. Misnarni (istri),Wahi Abdullah (ayah); Rahimah (ibu)
Maharani,Riau I,Golkar,DPR RI,SDN 013 Sintong; SMP 4 Tanah Putih; SMAN 3 Tanah Putih; Universitas Abdurab Pekanbaru; Universitas Lancang Kuning,,
Afrizal Sintong,,,Bupati Rokan Hilir ke-4; Anggota DPRD Kabupaten Rokan Hilir; Ketua DPD II Golkar Rohil,,"Sanimar, S.Pd (istri)","Maharani (saudara, adik)"
Karmila Sari,Riau I,Golkar,DPR RI,SMA Negeri 1 Pekanbaru; Universitas Tarumanegara; Universitas Indonesia; Universitas Brawijaya ,Ervin Abdel Gafar (suami),H. Bistamam (ayah); Hj. Basyariah (ibu)
Bistamam,,,Bupati Rokan Hilir ke-5,,Basyariah (istri),"Karmila Sari (anak, anggota DPR-RI periode 2024—2029)"
Hendry Munief,Riau I,PKS,DPR RI,SD TELADAN PEKANBARU; SMPN 4 PEKANBARU; SMPN 7 BANDUNG; SMAN 2 BANDUNG; Universitas Padjadjaran; UNIVERSITY OF MALAYSIA; UNIVERSITY KEBANGSAAN MALAYSIA ,,
Achmad,Riau I,Demokrat,DPR RI; Bupati Rokan Hulu ke-2,SDN 02 Pasir Pengaraian; SMPN 5 Pekanbaru; SMA Negeri 2 Pekanbaru; Institut Pemerintahan Dalam Negeri; Institut Ilmu Pemerintahan; Universitas Riau; Institut Pemerintahan Dalam Negeri,,
Abdul Wahid,Riau II,PKB,DPR RI; Gubernur Riau ke-15; Anggota DPRD Provinsi Riau,SD Negeri Sei Simbar; MTs Sei Simbar; Pondok Pesantren Ashhabul Yamin; Universitas Islam Negeri Sultan Syarif Kasim; Universitas Riau,"Dra. Hj. Anisah Rasyidah, M.AP. (istri, PNS, Kepala Dinas Pengendalian Penduduk dan Keluarga Berencana (DPPKB) Kabupaten Hulu Sungai Utara)","Indrarta Fajar Nuzuli (anak, putra); Almien Ashar Safari (anak, putra, Ketua DPRD Kabupaten Hulu Sungai Utara periode 2019–2024); H. Abdul Karim (ayah); Hj. Mastika Aini (ibu); Hj. Ismawati (saudara, saudara kandung); H. Muhammad Taufik (saudara, saudara kandung); Farid Wajidi (saudara, saudara kandung); Abdul Basith (saudara, saudara kandung)"
Mafirion,Riau II,PKB,DPR RI,SD N 2 Pulau Kijang; SMP N 9 Pulau Kijang; SMA Srirama Pekanbaru; Universitas Nasional,,
Muhammad Rohid,Riau II,Gerindra,DPR RI,SD 01 SAIL; SMP FUTURE ISLAMIC SCHOOL; SMA WITAMA NASIONAL PLUS; UNIVERSITY OF NORTHUMBRIA,,Muhammad Nasir (ayah); Muhammad Rahul (saudara)
Muhammad Nasir,,,DPR RI,,,
Muhammad Rahul,,,DPR RI; Ketua DPD Partai Gerindra Riau,,,Muhammad Nasir (ayah)
Siti Aisyah,Riau II,PDI-P,DPR RI,SDN 07 Bekasap duri; SMPN 2 Pekanbaru; SMAN 1 Pekanbaru; Universitas Lancang Kuning Pekanbaru; Institut Agama Islam Negeri Pekanbaru; Universitas Sumatera Utara,,
Yulisman,Riau II,Golkar,DPR RI,SDN Negeri 001 Airmolek; SMP Negeri 1 Airmolek; SMA Negeri 1 Airmolek; Universitas Riau; Universitas Lancang Kuning; Universitas Muhammadiyah Malang,,
Syahrul Aidi Maazat,Riau II,PKS,DPR RI; Wakil Ketua DPRD Kampar; Anggota DPRD Kampar,SD Negeri 036 Kampar; SMP Ponpes Islamic Center Al-Hidayah Kampar; SMA Ponpes Islamic Center Al-Hidayah Kampar; Universitas Al-Azhar Mesir; Universitas Al-Bayt Yordania,,
Sahidin,Riau II,PAN,DPR RI,SDN 020 Senapelan Pekanbaru; SMP Negeri 2 Pekanbaru; Sekolah Teknologi Pertanian Medan; Universitas Sumatera Utara; Universitas Lancang Kuning,Ir. Hj. Yenni (istri),Fadly Adha Zian Ekmal (anak); H. Husin Lahadi (ayah); Hj. Umi Salamah (ibu)
Elpisina,Jambi,PKB,DPR RI; Wakil Ketua DPRD Kabupaten Batang Hari; Wakil Ketua DPRD Kabupaten Batang Hari,SD Negeri 144/I Pasar Terusan; SMP Negeri 2 Muara Tembesi; SMA Negeri Muara Bulian; Politeknik Pertanian Universitas Andalas; Universitas Sunan Giri Surabaya; Universitas W.R. Supratman,Endriyanti Suryani (suami),
Rocky Candra,Jambi,Gerindra,DPR RI; Wakil Ketua DPRD Provinsi Jambi,SD Negeri 1 Gedung Air; SLTP Negeri 10 Bandar Lampung; SMA Swasta PGRI 1 Sungai Penuh; STIE Rahmaniyah Sekayu,Beatrice Chelly Setiayu (istri),
Edi Purwanto,Jambi,PDI-P,DPR RI; Ketua DPRD Provinsi Jambi,SD Negeri 327 Batu Putih; SMP Negeri 2 Singkut; MAN 2 Kota Jambi; IAIN STS Jambi; Universitas Indonesia; Universitas Jambi,Ari Puspita Rini (istri),
Cek Endra,Jambi,Golkar,DPR RI; Bupati Sarolangun ke-3; Wakil Bupati Sarolangun ke-2,SD Negeri 56 Mandiangin; SMP Negeri 4 Kota Jambi; SMK Negeri 1 Kota Jambi;  Akademi Uang dan Bank Yogyakarta; Universitas Krisnadwipayana,Hj. Rosita (istri),"Gerry Trisatwika (anak, salah satu dari 5 anak)"
Hasan Basri Agus,Jambi,Golkar,DPR RI; Gubernur Jambi ke-7; Bupati Sarolangun ke-2,SD NEGERI NO 50/VI; MTS A.I.NOLAKKEMANG; SMA NEGERI I JAMBI; APDN JAMBI; Universitas Sumatera Utara; STIM LPMI,Hj. Yusniana (istri),Kemas Muhammad Fuad (menantu)
Kemas Muhammad Fuad,,,Wakil Bupati Muaro Jambi ke-3,,Ervin Aprianti (istri),Hasan Basri Agus (ayah mertua); Kemas Mohamad Saleh (paman); Kemas Abdussomad (kakek); Nyimas Ashiella Azzahra (anak); Nyimas Nayla Khumaira (anak); Kemas Muhammad Azhim Hasan (anak); Kemas Muhammad Muzammil Hasan (anak)
Syarif Fasha,Jambi,NasDem,DPR RI; Wali Kota Jambi ke-11,SD Pertamina IX Palembang; SMP Negeri 16 Palembang; SMA Methodist II Palembang; Politeknik Negeri Sriwijaya; Sekolah Tinggi Ilmu Ekonomi Jambi;  Institut Pemerintahan Dalam Negeri,"Hj. Yuliana Fasha, S.E., M.Si., Ak. CA. (istri)",
A. Bakri HM,Jambi,PAN,DPR RI,SDN 28/V Simbur Naik Jambi; SMPN 9 Jambi; SMA Xaverius 1 Jambi; Universitas Muhammadiyah Jambi,,"tidak disebutkan namanya (ibu, seorang pedagang di Jambi)"
Zulfikar Achmad,Jambi,Demokrat,DPR RI; Bupati Bungo ke-6,SR Negeri; SMP Negeri Muara Bungo; SMA Negeri Bangko; Akademi Tata Laksana Pelayaran Niaga (ATPN) Veteran; Administrasi Negara Universitas 17 Agustus 1945,Netty Herlina (istri),Achmad Ma'sud (ayah); Sitimrah (ibu)
SN Prana Putra Sohe,Sumatera Selatan I,PKB,DPR RI; Wali Kota Lubuk Linggau ke-2; Wakil Wali Kota Lubuk Linggau ke-2,SD Xaverius Lubuk Linggau; SMP 1 Lubuk Linggau; SMAN 2 Palembang; Universitas Sriwijaya; STIE Widya Jayakarta,Yetti Oktarina (istri),
Kartika Sandra Desi,Sumatera Selatan I,Gerindra,DPR RI; Ketua DPD Partai Gerindra Sumatera Selatan; Wakil Ketua II DPRD Provinsi Sumatera Selatan,SMA Negeri 8 Palembang; Universitas Sjakhyakirti; Universitas Muhammadiyah Palembang,H. Syahrial (suami),
Yulian Gunhar,Sumatera Selatan I,PDI-P,DPR RI,SD Negeri 82 Palembang; SMP Gajah Mada Palembang; SMA Negeri 3 Palembang; Universitas Lampung; Universitas Muhammadiyah Palembang,Nurhayati Rosila (istri),
Kahar Muzakir,Sumatera Selatan I,Golkar,DPR RI; Wakil Ketua MPR RI,MUHAMMADIYAH 1; ISLAM YOGYAKARTA; IKIP YOGYAKARTA,Hj. Suci Rohani (istri),"Agung Firman Sampurna (anak); Wahyu Sanjaya (anak, Anggota DPR-RI periode 2014—2019); Dewi Yustisiana (anak); Doni Akbar (anak); Eva Susanti (menantu)"
Eva Susanti,,,DPR RI,,"Wahyu Sanjaya (suami, Politikus Partai Demokrat)",
