Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Rahayu Saraswati Djojohadikusumo,DKI Jakarta III,Gerindra,DPR RI,International School of Screen Acting,Harwendro Adityo Dewanto (suami),"Hashim Djojohadikusumo (ayah); Anie Hashim Djojohadikusumo (ibu); Prabowo (paman); Titiek (bibi); Prof. Dr. Soemitro Djojohadikoesoemo (kakek, Begawan Ekonomi Indonesia); Raden Mas Margono Djojohadikoesoemo (kakek buyut, Pendiri Bank Negara Indonesia); Kapten Anumerta Soebianto Djojohadikoesoemo (saudara, pahlawan dari Desa Lengkong, Tangerang Selatan (pertalian darah)); Taruna Soejono Djojohadikoesoemo (saudara, pahlawan dari Desa Lengkong, Tangerang Selatan (pertalian darah))"
Charles Honoris,DKI Jakarta III,PDI-P,DPR RI,International Christian University,Irene Bertina Irawan (istri),"Luntungan Honoris (ayah, pengusaha nasional)"
Darmadi Durianto,DKI Jakarta III,PDI-P,DPR RI,Unika Atma Jaya; Universitas Manila,Felicya Tjioe (istri),
Erwin Aksa,DKI Jakarta III,Golkar,DPR RI,University of Pittsburgh,Andi Fatmawati Manggabarani (istri),"Trinisha Erwin Aksa (anak); Shayla Erwin Aksa (anak); Muhammad Yusuf Erwin Aksa (anak); Aksa Mahmud (ayah, Ir. H. Muhammad Aksa Mahmud, pengusaha dan politikus); Ramlah Kalla (ibu, Hj. Ramlah Kalla, adik dari Jusuf Kalla); Jusuf Kalla (paman, mantan Wakil Presiden Republik Indonesia); Jusuf Manggabarani (ayah mertua); Munafri Arifuddin (ipar)"
Ahmad Sahroni,DKI Jakarta III,NasDem,DPR RI,Sekolah Tinggi Ilmu Ekonomi (STIE) Pelita Bangsa; Stikom InterStudi; Universitas Borobudur Jakarta,Feby Belinda (istri),
Adang Daradjatun,DKI Jakarta III,PKS,DPR RI; Ketua Mahkamah Kehormatan Dewan DPR-RI; Wakil Kepala Kepolisian Negara Republik Indonesia,Akademi Kepolisian,Nunun Nurbaetie (istri),
Sigit Purnomo Said,DKI Jakarta III,PAN,DPR RI; Wali Kota Palu; Wakil Wali Kota Palu,Sekolah Tinggi Ilmu Administrasi (STIA) Pembangunan Palu,"Okie Agustina (istri, menikah 2003, bercerai 2009); Adelia Wilhelmina (istri, menikah 2011)","Kiesha Alvaro (anak, dari pernikahan dengan Okie Agustina); Dewa Hikari Zaidan Ibrahim (anak, dari pernikahan dengan Adelia Wilhelmina); Sakha Dyandra Sultan Yusuf (anak, dari pernikahan dengan Adelia Wilhelmina); Aliyan Akhtar Raja Sulaiman (anak, dari pernikahan dengan Adelia Wilhelmina); Princess Kayla Mutiara Pasha (anak, dari pernikahan dengan Adelia Wilhelmina)"
Nurwayah,DKI Jakarta III,Demokrat,DPR RI,IKIP Ujung Pandang,,
Habib Syarief Muhammad,Jawa Barat I,PKB,DPR RI,IAIN Sunan Kalijaga,,
Melly Goeslaw,Jawa Barat I,Gerindra,DPR RI,SMA BPI 1 Bandung,"Anto Hoed (suami, menikah 4 Agustus 1995)","Anakku Lelaki Hoed (Ale) (anak, lahir 22 Agustus 2000); Pria Bernama Hoed (Abe) (anak, lahir 9 Mei 2003); Melky Goeslaw (ayah, penyanyi dan penulis lagu); Ersi Sukaesih (ibu); Yuli (saudara, adik tiri, lahir dari pernikahan kedua ibunya)"
Nico Siahaan,Jawa Barat I,PDI-P,DPR RI,Universitas Padjadjaran,"Gabriella Vincy Caroline Setiawati (istri, menikah 17 Oktober 2003)",
Atalia Praratya,Jawa Barat I,Golkar,DPR RI,Universitas Padjadjaran; Universitas Pasundan; Universitas Katolik Parahyangan,"Ridwan Kamil (suami, mantan Gubernur Jawa Barat dan Wali Kota Bandung)","Ahmad Syarif Puradimadja (ayah, arsitek dan dosen planologi); Emmeril Kahn Mumtadz (anak, anak kandung); Camillia Laetitia Azzzahra (anak, anak kandung); Arkana Aidan Misbach (anak, anak angkat)"
Nurul Arifin,Jawa Barat I,Golkar,DPR RI,Universitas Indonesia,"Mayong Suryo Laksono (suami, wartawan dan redaktur Intisari, menikah tahun 1991)",
Ledia Hanifa Amaliah,Jawa Barat I,PKS,DPR RI,Universitas Indonesia,Bachtiar Sunasto (suami),"Moechsoen (ayah); Moeliana Sekar Asih (ibu); Raden Hasan Nata Permana (kakek, tokoh koperasi di Jawa Barat)"
Fathi (politikus Indonesia),Jawa Barat I,Demokrat,DPR RI,,,
Cucun Ahmad Syamsurijal,Jawa Barat II,PKB,Wakil Ketua DPR RI; DPR RI,Institut Agama Islam Cipasung; Universitas Padjadjaran,Eneng Sumiati (istri),
Asep Romy Romaya,Jawa Barat II,PKB,DPR RI,,,"Dadang Supriatna (saudara, Adik, Bupati Bandung)"
Rachel Maryam,Jawa Barat II,Gerindra,DPR RI,SMUN 19 BANDUNG,"Muhammad Akbar Pradana (suami, menikah 2005, bercerai 2010); Edwin Aprihandono (suami, menikah 2011)","Muhammad Kale Mata Angin (anak, lahir 29 Juli 2006); Marina Trijawati (ibu, berdarah Jerman dan Sunda); Indra Sayidina (ayah, telah bercerai dari ibu)"
Anang Susanto,Jawa Barat II,Golkar,DPR RI,Institut Teknologi Bandung; Universitas Nurtanio Bandung,Yanneu Diah Purnama (istri),
Dadang M. Nasser,Jawa Barat II,Golkar,DPR RI,SMA Negeri 11 Bandung; Universitas Islam Nusantara; Universitas Jenderal Achmad Yani; Universitas Padjadjaran,Kurnia Agustina (istri),
Rajiv,Jawa Barat II,NasDem,DPR RI,SMA Paskalis,,
Ahmad Heryawan,Jawa Barat II,PKS,Pelaksana Harian Presiden Partai Keadilan Sejahtera; DPR RI; Gubernur Jawa Barat; Wakil Ketua I DPRD Provinsi DKI Jakarta; Ketua Fraksi Partai Keadilan Sejahtera DPRD DKI Jakarta; DPRD Provinsi DKI Jakarta,Universitas Padjadjaran; Lembaga Ilmu Pengetahuan Islam dan Arab; Institut Pertanian Bogor,"Netty Prasetiyani (istri, menikah tahun 1991)",
Ahmad Najib Qodratullah,Jawa Barat II,PAN,DPR RI,STIE Kridatama,,
