Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Anang Susanto,Jawa Barat II,Golkar,DPR RI,Institut Teknologi Bandung; Universitas Nurtanio Bandung,,
Dadang M. Nasser,Jawa Barat II,Golkar,DPR RI,SMA Negeri 11 Bandung; Universitas Islam Nusantara; Universitas Jenderal Achmad Yani; Universitas Padjadjaran,,
Rajiv,Jawa Barat II,NasDem,DPR RI,SMA Paskalis,,
Ahmad Heryawan,Jawa Barat II,PKS,Pelaksana Harian Presiden Partai Keadilan Sejahtera; DPR RI; Gubernur Jawa Barat; Wakil Ketua I DPRD Provinsi DKI Jakarta; Ketua Fraksi Partai Keadilan Sejahtera DPRD DKI Jakarta; DPRD Provinsi DKI Jakarta,Universitas Padjadjaran; Lembaga Ilmu Pengetahuan Islam dan Arab; Institut Pertanian Bogor,,
Ahmad Najib Qodratullah,Jawa Barat II,PAN,DPR RI,STIE Kridatama,,
Dede Yusuf,Jawa Barat II,Demokrat; PAN,Wakil Gubernur Jawa Barat; DPR RI,Universitas Muhammadiyah Jakarta; Universitas Padjajaran,,
Neng Eem Marhamah Zulfa Hiz,Jawa Barat III,PKB,DPR RI,STAIN Kediri; Universitas Tama Jagakarsa,,
Kamrussamad,Jawa Barat III,Gerindra,DPR RI,Universitas Muslim Indonesia; Universitas Indonesia,,
Endang Setyawati Thohari,Jawa Barat III,Gerindra,DPR RI,Universitas Diponegoro; Universitas Montpellier I Perancis; Institute Agronomique Mediteriane Montpellier Perancis,,
Muhamad Abdul Aziz Sefudin,Jawa Barat III,PDI-P,DPR RI,Universitas Langlang Buana,,
Budhy Setiawan,Jawa Barat III,Golkar,DPR RI,Institut Pertanian Bogor; Universitas Padjadjaran,,
Isfhan Taufik Munggaran,Jawa Barat III,Golkar,DPR RI,SMAN 1 CIANJUR,,
Ilham Permana,Jawa Barat III,Golkar,DPR RI,Politeknik Swadharma BNI 46; Universitas Wiraswasta Indonesia; Universitas Budi Luhur Jakarta,,
Ananda Tohpati,Jawa Barat III,NasDem,DPR RI,Universitas Tarumanagara; Universitas Indonesia,,
Ecky Awal Mucharam,Jawa Barat III,PKS,DPR RI,STAN Jakarta; STIE Indonesia,,
Eddy Soeparno,Jawa Barat III,PAN,Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Sekretaris Jenderal Partai Amanat Nasional,Universitas Indonesia,,
Zainul Munasichin,Jawa Barat IV,PKB,DPR RI,Universitas Jember,,
Heri Gunawan,Jawa Barat IV,Gerindra,DPR RI,Universitas Kristen Duta Wacana,,
Dewi Asmara,Jawa Barat IV,Golkar,DPR RI; Wakil Ketua Komisi XIII DPR RI,Universitas Indonesia; Universitas Padjadjaran,,
Slamet,Jawa Barat IV,PKS,DPR RI,Universitas Udayana,,
Desy Ratnasari,Jawa Barat IV,PAN,DPR RI,Universitas Atma Jaya Jakarta,,
Iman Adinugraha,Jawa Barat IV,Demokrat,DPR RI,Akademi Teknologi Yogyakarta,,
Tommy Kurniawan,Jawa Barat V,PKB,DPR RI,Universitas Bina Nusantara,,
Fadli Zon,Jawa Barat V,Gerindra,Menteri Kebudayaan Indonesia; Ketua DPR RI; Wakil Ketua DPR RI Bidang Politik dan Keamanan; DPR RI; Chairman of Global Organization of Parliamentarians Against Corruption,Universitas Indonesia; London School of Economics and Political Science,,
Mulyadi,Jawa Barat V,Gerindra,DPR RI,Universitas Katolik Parahyangan; Institut Pertanian Bogor,,
Marlyn Maisarah,Jawa Barat V,Gerindra,DPR RI,SMA Sumbangsih,,
Adian Napitupulu,Jawa Barat V,PDI-P,DPR RI,Universitas Kristen Indonesia,,
Ravindra Airlangga,Jawa Barat V,Golkar,DPR RI,Johns Hopkins University; University of San Fransisco,,
Asep Wahyuwijaya,Jawa Barat V,NasDem,DPR RI,Universitas Padjajaran,,
Achmad Ru'yat,Jawa Barat V,,DPR RI,,,
Primus Yustisio,Jawa Barat V,PAN,DPR RI,STIE Widya Persada,,
Anton Sukartono Suratto,Jawa Barat V,Demokrat,DPR RI,Dowling Colleg Amerika Serikat,,
Sudjatmiko (politikus),Jawa Barat VI,PKB,DPR RI,Universitas Brawijaya; Universitas Persada Indonesia Yayasan Administrasi Indonesia,,
Nuroji,Jawa Barat VI,PDI-P; Gerindra,DPR RI,Institut Pertanian Bogor; Sekolah Tinggi Ilmu Ekonomi Indonesia School of Management,,
Sukur H. Nababan,Jawa Barat VI,PDI-P,DPR RI,Universitas Generasi Muda; Universitas Amir Hamzah,,
Ranny Fahd Arafiq,Jawa Barat VI,Golkar,DPR RI,,,
Mahfudz Abdurrahman,Jawa Barat VI,PKS,DPR RI,Universitas Jayabaya,,
Muhammad Kholid,Jawa Barat VI,PKS,DPR RI,Universitas Gadjah Mada; Universitas Indonesia,,
Syaiful Huda,Jawa Barat VII,PKB,DPR RI,Universitas Islam Negeri Sunan Gunung Djati; Universitas Negeri Jakarta,,
Dedi Mulyadi,Jawa Barat VII,Gerindra,Gubernur Jawa Barat; DPR RI; Bupati Purwakarta; Wakil Bupati Purwakarta,Sekolah Tinggi Hukum Purnawarman; Universitas Widyatama,,
Wardatul Asriah,Jawa Barat VII,Gerindra,DPR RI,IAIN Syarif Hidayatullah; Universitas Prof. Dr. Moestopo (Beragama),,
Putih Sari,Jawa Barat VII,Gerindra,DPR RI,Universitas Trisakti,,
Obon Tabroni,Jawa Barat VII,Gerindra,DPR RI,SMA NEGERI 1 KARAWANG,,
Rieke Diah Pitaloka,Jawa Barat VII,PDI-P,DPR RI,Universitas Indonesia,,
