Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Mukhamad Misbakhun,Jawa Timur II,Golkar; PKS,DPR RI,SMA Negeri 1 Pasuruan; Diploma III Perpajakan Sekolah Tinggi Akuntansi Negara (STAN) di Bintaro.; S1 program ekstensi sarjana Fakultas Ekonomi Universitas Trisakti Jakarta; S2 Hukum di Universitas Gadjah Mada (UGM); S3 Doktor IImu Ekonomi di Universitas Trisakti,,
Mohammad Haerul Amri,Jawa Timur II,NasDem,DPR RI,,,
Dini Rahmania H,Jawa Timur II,NasDem,DPR RI,MI Negeri 1 Kota Malang.; SMP Negeri 1 Kraksaan Kabupaten Probolinggo.; Sekolah Menengah Atas Khadijah Kota Surabaya.; Fakultas Ilmu Sosial dan Ilmu Politik Sarjana Ilmu Administrasi Negara Universitas Airlangga Kota Surabaya.; Fakultas Ekonomi dan Bisnis Magister Manajemen Universitas Ciputra Kota Surabaya.,,
Syaiful Nuri,Jawa Timur II,PAN,DPR RI,,,
Nihayatul Wafiroh,Jawa Timur III,PKB,DPR RI,Doctoral program ICRS-Yogya (Indonesian Consortium for Religious Studies) UGM Yogyakarta (2009-2016); Master in Asian Studies Department University of Hawaii at Manoa Hawaii United States (2007-2009 cum laude); Master in Magister Managemen Universitas Jember (2004 - not finish); Bachelor Tafsir Hadis Ushuluddin Faculty Institut Agama Islam Negeri Sunan Kalijaga (IAIN) Sunan Kalijaga State Institute of Islamic Studies Jogjakarta (2004- cum laude); Mu'allimin Mu'allimat Atas (MMA) Six-year-Senior-Junior High Integrated Islamic Boarding School Pondok Pesantren Bahrul Ulum Tambakberas Tambakrejo Jombang Jombang (1994-Not finish); Madrasah Aliyah Al-Amiriyyah (Al-Amiriyah Senior High School) Blokagung Banyuwangi (1997); Madrasah Tsanawiyah Al-Amiriyyah (Al-Amiriyyah Junior High School) Blokagung Banyuwangi (1994); Sekolah Dasar Darussalam (Darussalam Elementary School) Blokagung Banyuwangi.,,
M. Nasim Khan,Jawa Timur III,PKB,DPR RI,SD Negeri 1 Asembagus (1981-1987); SMP Negeri 1 Asembagus (1987-1990); SMA Negeri 2 Situbondo (1990-1993); S-1 Institut Teknologi Nasional (1993-2000),,
Sumail Abdullah,Jawa Timur III,Gerindra,DPR RI,SD Negeri 1 Watukebo (1981); SMP Negeri 4 Banyuwangi (1984); SMA Negeri 1 Banyuwangi (1987); S-1 Universitas Halu Oleo (1993),,
Sonny Tri Danaparamita,Jawa Timur III,PDI-P,DPR RI,S1 Ilmu Hukum Fakultas Hukum Universitas Jember,,
Ina Ammania,Jawa Timur III,PDI-P,DPR RI,,,
Zulfikar Arse Sadikin,Jawa Timur III,Golkar,DPR RI; MANAGER CAMPAIGN CALEG DPR RI TERPILIH JATIM VI; STAF SEKRETARIAT PPK DITJEN OMD KEMENDAGRI; DIREKTUR INSTITUTE FOR DEMOCRACY and WELFARISM,S2 ILMU POLITIK UNIVERSITAS INDONESIA. Tahun: 2004 - 2008; S1 ILMU PEMERINTAHAN UNIVERSITAS GADJAH MADA . Tahun: 1994 - 2003; SMA SMAN KAUMAN TULUNGAGUNG . Tahun: 1991 - 1994; SMP SMP N 1 TULUNGAGUNG. Tahun: 1988 - 1991; SD SDN KARANGWARU I. Tahun: 1982 - 1988,,
Dina Lorenza Audria,Jawa Timur III,Demokrat,DPR RI,,,
Rivqy Abdul Halim,Jawa Timur IV,PKB,DPR RI,SMA Negeri 2 Jombang (2002-2005); Fakultas Ekonomi Universitas Islam Indonesia (2006-2011),,
Ach. Ghufron Sirodj,Jawa Timur IV,PKB,DPR RI,MI Miftahul Ulum Kebun Wangi.; SMP Al-Miftah Panyeppen Pamekasan.; SMU NU Kebun Rejo Genteng Banyuwangi.; S1 Perbandingan Agama Fakultas Ushuluddin. UIN Sunan Kalijaga Yogyakarta.,,
Muhammad Khozin,Jawa Timur IV,PKB; PPP,DPR RI,SD; SLTP; SMA - Madrasah Aliyah Pondok Pesantren Nurul Jadid Paiton Probolinggo.; S1 - Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember.; S2 - Magister Administrasi Publik Universitas Dr. Soetomo Surabaya.; S3 - Doktor Ilmu Administrasi Universitas Jember Jember.,,
Bambang Haryadi,Jawa Timur IV,Gerindra,DPR RI,SD Gambirono 4 (1991); SMP Negeri 1 Bangsalsari (1994); SMU Islam Al Hidayah Jember (1998); S-1 STIE Manajemen Industri dan Jasa Indonesia Jakarta (2012),,
Kawendra Lukistian,Jawa Timur IV,Gerindra,DPR RI,SD; SMP; SMA; S1 Fakultas Ekonomi dan Bisnis Universitas Pancasila; S2 Institut Seni Budaya Indonesia Bandung,,
Arif Wibowo,Jawa Timur IV,PDI-P,DPR RI,,,
Muhamad Nur Purnamasidi,Jawa Timur IV,Golkar,DPR RI,SD Pondok Ungu Bekasi (1978-1984); SMP Negeri 3 Bekasi (1984-1987); SMA Negeri Tambun (1987-1990); S-1 Universitas Jember (1990-1995); S-2 Administrasi Publik Universitas Jember (2021-2024),,
Charles Meikyansah,Jawa Timur IV,NasDem,DPR RI,SD; SMP; SMA; S1 Hubungan Internasional di Universitas Jember; S2 Ilmu Komunikasi di Universitas Padjadjaran; S3 Ilmu Komunikasi di Universitas Padjadjaran,,
Amin AK,Jawa Timur IV,PKS,DPR RI,SMAN 1 Purworejo Jawa Tengah. Lulus 1985; Diploma 3 - Sekolah Tinggi Akuntansi Negara (STAN). Lulus Tahun 1988; Diploma 4 - Sekolah Tinggi Akuntansi Negara (STAN). Lulus Tahun 1995; Magister Manajemen - Universitas Jember. Lulus Tahun 2002,,
Hassanudin Wahid,Jawa Timur V,PKB,DPR RI,SD/MI. Miftahul Ulum; SMP MTs. Hasyim Asy'ari; SMA MASS Tebuireng; S1 UIN Maulana Malik Ibrahim Malang; S2 Universitas Indonesia,,
Ali Ahmad,Jawa Timur V,PKB,DPR RI,MI Al-Hidayah Karangploso; MTs Darus Salam Sumbersari Kediri; MA Darus Salam Sumbersari Kediri; S-1 Fakultas Hukum Universitas Islam Malang,,
Moreno Soeprapto,Jawa Timur V,Gerindra,DPR RI,,,
Ma'ruf Mubarok,Jawa Timur V,Gerindra,DPR RI,,,
Ahmad Basarah,Jawa Timur V,PDI-P,DPR RI; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,Sekolah Dasar Negeri (SDN) 01 Rawa Terate Jakarta Timur (1976-1982); Sekolah Menengah Pertama Negeri (SMPN) 168 Cakung Jakarta Timur (1982-1985); Sekolah Menengah Atas Negeri (SMAN) 36 Rawamangun Jakarta Timur (1985-1988); S-1 Fakultas Ilmu Komunikasi Institut Ilmu Sosial Dan Ilmu Politik (IISIP) Jakarta (1988-1992); S-1 Fakultas Ilmu Sosial dan Ilmu Politik Universitas 17 Agustus 1945 Jakarta (1992-1995); S-2 Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia Jakarta (1998-1999); S-2 Fakultas Hukum Universitas Kristen Indonesia (UKI) Jakarta (2007-2009); S-3 Fakultas Hukum Universitas Diponegoro Semarang (2014-2016),,
Andreas Eddy Susetyo,Jawa Timur V,PDI-P,DPR RI,SMA Negeri 3 Malang (1976-1979); S-1 Institut Teknologi Sepuluh Nopember (1980-1984); S-2 Sekolah Tinggi Manajemen Prasetiya Mulya (1992-1994),,
Ahmad Irawan,Jawa Timur V,Golkar,DPR RI,,,
Gamal,Jawa Timur V,PKS,DPR RI,Madrasah Ibtidaiyah Jendral Sudirman Malang; SMP Negeri 3 Malang; SMA Negeri 3 Malang kelas Akselerasi (2 tahun selama SMA); S1 Pendidikan Dokter Fakultas Kedokteran - Universitas Brawijaya; S2 Ilmu Biomedik Fakultas Kedokteran - Universitas Brawijaya,,
Anggia Erma Rini,Jawa Timur VI,PKB,DPR RI,SDN 1 Gondang Sragen; SMPN 1 Gondang Sragen; SMAN 1 Sragen (1993); Sarjana Pendidikan Bahasa Inggris Universitas Negeri Malang (1997); Magister Kesehatan Masyarakat Universitas Indonesia (2014); Doktor Program Studi Ilmu Administrasi Konsentrasi Administrasi Publik Universitas Padjajaran (2023),,
An'im Falachuddin,Jawa Timur VI,PKB,DPR RI,Lulus SD Negeri Lirboyo; Lulus SMP Negeri 4 Kediri; Lulus Pondok Pesantren Lirboyo,,
Endro Hermono,Jawa Timur VI,Gerindra; PDI-P,DPR RI; Wakil Wali Kota Blitar,SD Negeri Nglegok (1966-1971); SMP Negeri 1 Blitar (1972-1974); SMA Negeri 1 Blitar (1975-1977); S-1 Pertanian Institut Pertanian Bogor (1978-1982); S-2 Jakarta Institute of Management Studies (1997-1999),,
Pulung Agustanto,Jawa Timur VI,PDI-P,DPR RI,,,
Sri Rahayu,Jawa Timur VI,PDI-P,DPR RI,,,
Romy Soekarno,Jawa Timur VI,PDI-P,DPR RI,,,
M. Sarmuji,Jawa Timur VI,Golkar,DPR RI,SD; SMA; S1 Jurusan Manajemen Fakultas Ekonomi; S2 Universitas Indonesia,,
Heru Tjahjono,Jawa Timur VI,Golkar,DPR RI; Sekretaris Daerah Provinsi Jawa Timur; Bupati Tulungagung,S1 Teknik Sipil Universitas Sebelas Maret Surakarta.; S2 Magister Manajemen Universitas Merdeka Malang.; S3 Ilmu Lingkungan Pembangunan Universitas Brawijaya Malang,,
Nurhadi,Jawa Timur VI,NasDem,DPR RI,SD Negeri Mangunan 2 (1981-1987); SMP Negeri Udanawu (1987-1990); SMA PGRI 5 Blitar (1990-1993); S-1 Pendidikan STKIP PGRI Pasuruan (2007-2011); S-2 Magister Ilmu Hukum Universitas 17 Agustus 1945 Semarang (lulus 2024),,
Ahmad Riski Sadig,Jawa Timur VI,PAN,DPR RI,SD - SD Mujahidin Surabaya. Tahun: 1979 - 1985; SMP - SMP Diponegoro Surakarta. Tahun: 1985 - 1988; SMA IPA SMA Negeri 7 Surakarta. Tahun: 1988 - 1991; S1 Fak. Teknik Universitas Islam Indonesia Yogyakarta. Tahun: 1991 - 1998; S2 Ilmu Administrasi Universitas Dr. Moestopo Jakarta. Tahun: 2014 - 2016,,
Ahmad Iman Sukri,Jawa Timur VII,PKB,DPR RI,SD Jembrana Bali; SMP Pesantren Nurul Jadid Paiton Probolinggo; SMA Pesantren Nurul Jadid Paiton Probolinggo; S1 Hukum Islam (Ilmu Agama Islam) di Universitas Islam Indonesia Yogyakarta (UII); S2 Hukum Tata Negara di Universitas Gadjah Mada Yogyakarta (UGM); S3 Ilmu Administrasi di Universitas Indonesia Jakarta (UI),,
Supriyanto,Jawa Timur VII,Gerindra; PDI-P,DPR RI,SD Negeri Bediwetan (1969-1975); SMP Negeri 2 Ponorogo (1975-1979); SMA Negeri 2 Ponorogo (1979-1982); S-1 Ekonomi Universitas Gadjah Mada (1982-1987),,
Novita Hardini,Jawa Timur VII,PDI-P,DPR RI,Universitas Zhejiang; Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung S-2 Ekonomi Syariah (lulus),,
Budi Sulistyono alias Kanang,Jawa Timur VII,PDI-P,DPR RI; Bupati Ngawi,SD Negeri Margomulyo; SMP Negeri 1 Ngawi; SMA Negeri 5 Surabaya; S1 UGM Yogyakarta,,
Ali Mufthi,Jawa Timur VII,Golkar,DPR RI,MIM I (1978-1984); MTs Nahdlatul Ulama (1984-1987); MA Tebuireng (1987-1990); S-1 Tarbiyah IAIN Sunan Ampel Tulungagung (1990-1994); S-2 Ilmu Administrasi Universitas Kadiri (2011-2013); S-3 Sosial Universitas Merdeka Malang (2013-2017),,
Riyono,Jawa Timur VII,PKS,DPR RI,,,
Edhie Baskoro Yudhoyono,Jawa Timur VII,Demokrat,DPR RI; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Sekretaris Jenderal Partai Demokrat,SD Merdeka Bandung; SMPN 20 Jakarta; SMAN 39 Cijantung Jakarta; Bachelor of Commerce in Finance and E-Commerce; Master of Science in International Political Economic; S3 Manajemen Bisnis (DMB) Angkatan 12 Institut Pertanian Bogor (IPB),,
Sartono,Jawa Timur VII,Demokrat,DPR RI,SD SD Negeri Sirnoboyo II Pacitan . Tahun: 1969 - 1975; SMP Sekolah Teknik Negeri I Pacitan. Tahun: 1976 - 1979; SMA Sekolah Teknolgi Menengah (STM) Bina Karya Pacitan . Tahun: 1979 - 1982; DIPLOMA Diploma of English. Tahun: 1983 - 1985; S1 Manajemen STIE AL-ANWAR Mojokerto . Tahun: 2000 - 2004; S2 Manajemen Universitas WR. Supratman Surabaya . Tahun: 2009 - 2011,,
Rusdi Kirana,Jawa Timur VIII,PKB,Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Duta Besar RI untuk Malaysia,,,
A. Halim Iskandar,Jawa Timur VIII,PKB,DPR RI; Menteri Desa Pembangunan Daerah Tertinggal dan Transmigrasi Indonesia ke-7; Ketua DPRD Provinsi Jawa Timur,MI Mambaul Ma'arif Denanyar; MTs Mambaul Ma'arif Denanyar; MAN Mambaul Ma'arif Denanyar; S1 Universitas Negeri Yogyakarta; S2 di Universitas Negeri Malang pada jurusan Manajemen Pendidikan,,
Mochamad Irfan Yusuf,Jawa Timur VIII,Gerindra,Menteri Haji dan Umrah Indonesia ke-2; DPR RI; Ketua Badan Penyelenggara Haji,SMPP Jombang; SMA Negeri 2 Jombang; S1 Universitas Brawijaya Malang; S2 Universitas Brawijaya Malang; S3 di Universitas Islam Negeri Maulana Malik Ibrahim (UIN Maliki) Malang,,
Bimantoro Wiyono,Jawa Timur VIII,Gerindra,DPR RI,SD Negeri 1 Tangerang (1994-2000); SMP Negeri 1 Bogor (2000-2003); SMA Dwiwarna Kab. Bogor (2003-2006); S-1 Fakultas Hukum Universitas Padjadjaran (2006-2013),,
Sadarestuwati,Jawa Timur VIII,PDI-P,DPR RI,SD SDN Banjaragung II (1976 - 1982); SMP SMPN Mojoagung II (1982 - 1985); SMA SMA PGRI 1 Jombang (1985 - 1988); S1 Sarjana Pertanian Agribisnis Universitas Wijaya Kusuma (1988 - 1993); S2 Magister Agribisnis Universitas Wijaya Kusuma (2003 - 2005),,
Banyu Biru Djarot,Jawa Timur VIII,PDI-P,DPR RI,Universitas Reading London,,
M. Yahya Zaini,Jawa Timur VIII,Golkar,DPR RI,Universitas Airlangga,,
Muhammad Habibur Rochman,Jawa Timur VIII,NasDem,DPR RI,,,
Meitri Citra Wardani,Jawa Timur VIII,PKS,DPR RI,,,
Abdul Hakim Bafagih,Jawa Timur VIII,PAN,DPR RI,SD Banjaran IU Kediri (1998-2004); SMP Ar-Rahman Hidayatullah (2004-2007); SMA Al-Hikmah Surabaya (2007-2010); S-1 Teknik Industri Universitas Surabaya (2011-2016),,
Guntur Sasono,Jawa Timur VIII,Demokrat,DPR RI,S1 Administrasi Negara Universitas 17 Agustus 1945 Surabaya; S2 Administrasi Publik Universitas 17 Agustus 1945 Surabaya,,
Anna Mu'awanah,Jawa Timur XI,PKB,DPR RI; Bupati Bojonegoro,SDN Laju Lor Singgahan Tuban; MAN Tuban dan MAN Peterongan Jombang.; S1 Universitas Borobudur; S2 Universitas Trisakti; S3 di Universitas Negeri Jakarta,,
Ratna Juwita Sari,Jawa Timur XI,PKB,DPR RI,SD SDN Kutorejo 1. Tahun: 1990 - 1996; SMP SLTPN 3 Tuban. Tahun: 1996 - 1999; SMA SMUN 1 Tuban. Tahun: 1999 - 2002; DIPLOMA Manajemen Universitas Airlangga Tahun: 2002 - 2005; S1 Manajemen Ekonomi STIE Yapan Surabaya Tahun: 2007 - 2012; S2 Manajemen STIE Mahardika Surabaya. Tahun: 2012 - 2015,,
Wihadi Wijanto,Jawa Timur XI,Gerindra,DPR RI,SD Negeri Banjarejo 1 (1972-1978); SMP Negeri 1 Bojonegoro (1978-1981); SMA Kebun Dalem Semarang (1981-1984); S-1 Fakultas Hukum Universitas 17 Agustus 1945 Semarang (1984-1990); S-2 Magister Hukum Universitas Pelita Harapan (2012-2015),,
Abidin Fikri,Jawa Timur XI,PDI-P,DPR RI,,,
Haeny Relawati Rini Widyastuti,Jawa Timur XI,Golkar,DPR RI; Ketua DPRD Tuban; Bupati Tuban; DPR RI,SD Negeri Kebonsari VI Tuban (1969-1975); SMP Negeri Tuban (1976-1979); SMA Negeri Tuban dan SMA Negeri 1 Klaten (1979-1982); S1 Universitas Gadjah Mada Yogyakarta (1983-1993); S2 Universitas Gadjah Mada Yogyakarta (1994-1996),,
Eko Wahyudi,Jawa Timur XI,Golkar,DPR RI,,,
Jazilul Fawaid,Jawa Timur X,PKB,DPR RI; Wakil Ketua MPR Republik Indonesia,SDN Kertosono Sidayu Gresik (1984); MTs Ihyaul'ulum Dukun Gresik (1987); MA Ihyaul'ulum Dukun Gresik (1990); S-1 Perguruan Tinggi Ilmu Al-Qur'an Jakarta (1998); S-2 Institut Ilmu Al-Qur'an Jakarta (2011); S-3 Universitas Negeri Jakarta (2020); S-3 Institut Pemerintahan Dalam Negeri (2021),,
Hashim Djojohadikusumo,,,,,,
Irmawan,Aceh I,PKB,DPR RI,SD NEGERI REMA BARU; SMP NEGERI 1 BLANG KEUJEREN; SMA NEGERI 1 BLANG KEUJEREN; S-1 Universitas Medan Area; S-2 Universitas Pendidikan Ganesha,,
Suhaidi,,,Bupati Gayo Lues ke-4,,,
Ruslan M. Daud,Aceh II,PKB,DPR RI; Bupati Bireuen ke-3,STIE Indonesia Medan; SD Simplang Mamplam; SMP Pandrah; LPI Mudi Mesra Samalanga,,
TA Khalid,Aceh II,Gerindra,DPR RI,SDN Jangka Buya; SMPN Tanjongan Samalanga; SMAN Lhokseumawe; Universitas Abulyatama; IMMI Jakarta; UNPAD,,
Jamaluddin Idham,Aceh I,PDI-P,DPR RI,SD NEGERI SUKARAMAI; SMP NEGERI 1 DARUL MAKMUR; SMA AL-AZHAR MEDAN; UNIVERSITAS ISLAM SUMATERA UTARA,,
M. Jamin Idham,,,Bupati Nagan Raya ke-2; Wakil Bupati Nagan Raya ke-2,,,
Teuku Zulkarnaini Ampon Bang,Aceh I,Golkar,DPR RI; Bupati Nagan Raya ke-1; Bupati Nagan Raya,SD NEGERI 1 JEURAM; SMP NEGERI 1 JEURAM; SMA NEGERI 1 BLANG PIDIE; AKADEMI PEMERINTAHAN DALAM NEGERI (APDN) BANDA ACEH; FAKULTAS SOSIAL POLITIK SULTAN ISKANDAR MUDA,,
Habib Muda Seunagan,,,Mursyid Tarekat Syattariyah Seunagan ke-31,,,
Habib Qudrat,,,Mursyid Tarekat Syattariyah Seunagan ke-33,,,
Teuku Raja Keumangan,,,Bupati Nagan Raya ke-3; Wakil Ketua DPR Aceh,,,
Said Syahrul Rahmad,,,Wakil Ketua DPR Kabupaten Nagan Raya; Ketua/Anggota Bawaslu Kabupaten Nagan Raya,,,
Ilham Pangestu,Aceh II,Golkar,DPR RI; DPR Kota Langsa,SDN 05 Kota Langsa; SMP Muhammadiyah Kota Langsa; STM Setia Budi Balikpapan; Sekolah Tinngi Ilmu Ekonomi IBMT,,
Teungku Samsul Bahri Tiyong,Aceh II,Golkar,DPR RI; DPR Aceh,PKBM AL IKHLAS,,
Muslim Ayub,Aceh I,NasDem,DPR RI; DPR Aceh; DPR K Aceh Tenggara,SD Negeri 4 Kutacane; SMP Negeri 1 Kutacane; SMA NEGERI 1 KUTACANE; Universitas Samudra; Sekolah Tinggi Ilmu Ekonomi (STIE) Ganesha,,
Irsan Sosiawan,Aceh II,NasDem,DPR RI,PERGURUAN CIKINI JAKARTA; MUHAMMADIYAH 16 JAKARTA; SMA Terunajaya II;  NORTH DROP UNIVERSITY; WESR COAST UNIVERSITY,,
Surya Paloh,,,Ketua Umum Partai NasDem Ke-2; Anggota Majelis Permusyawaratan Rakyat; Direktur Utama Metro TV,,,
Prananda Surya Paloh,,,DPR RI,,,
Nova Harivan Paloh,,,Anggota DPRD DKI Jakarta,,,
Wibi Andrino,,,Wakil Ketua DPRD Provinsi DKI Jakarta,,,
Ghufran,Aceh I,PKS,DPR RI,MIN Blange Pidie; MTsN Tungkob Aceh Besar MAN 1 Banda Aceh; IAIN Ar Raniry; Khartoum International Institute,,
Muhammad Nasir Djamil,Aceh I,PKS,DPR RI; DPR Daerah Provinsi Nangroe Aceh Darussalam,SDN 11; Persiapan Negeri Langsa; SMA N 1 Langsa; IAIN Ar-Raniry; Universitas Nasional Jakarta; UNIVERSITAS ISLAM SULTAN AGUNG,,
Nazaruddin Dek Gam,Aceh I,PAN,DPR RI,SDN 1 Leupung Banda Aceh; SMPN 2 Banda Aceh; SMAN 3 Banda Aceh,,
Teuku Riefky Harsya,Aceh I,Demokrat,DPR RI; Menteri Ekonomi Kreatif Indonesia ke-1; Kepala Badan Ekonomi Kreatif ke-4; Sekretaris Jenderal Partai Demokrat,SDI Al Azhar Pusat; SMP Muhammadiyah IX; SMA Negeri 6 Jakarta; Millitary College of Vermont; Universitas Indonesia; IPB,,
Teuku Ibrahim,Aceh I,Demokrat,DPR RI,MIN TUNGKOP ACEH BESAR; SMPN DARUSSALAM BANDA ACEH; STM NEGERI BANDA ACEH; UNIVERSITAS ABULYATAMA; UNIVERSITAS SYIAH KUALA,,
Ashari Tambunan,Sumatera Utara I,PKB,DPR RI; Bupati Deli Serdang ke-14,BHAYANGKARI MEDAN; IMMANUEL MEDAN; IMANUEL MEDAN XAVERIUS JAMBI; UNIVERSITAS INDONESIA,,
Amri Tambunan,,,Bupati Deli Serdang ke-13,,,
Asri Ludin Tambunan,,,Bupati Deli Serdang ke-16,,,
Adlin Umar Yusri Tambunan,,,Wakil Bupati Serdang Berdagai ke-4,,,
Djamaluddin Tambunan,,,Gubernur Jambi ke-3,,,
Ade Jona Prasetyo,Sumatera Utara I,Gerindra,DPR RI,SD Swasta Bahagia; SMPN 11 Medan; SMA Swasta Dharmawangsa; Universitas Dharmawangsa; Universitas Prima; Universitas Sumatera Utara,,
Husni,Sumatera Utara I,Gerindra,DPR RI,SD DHARMA PUTRA II MEDAN; SMP TUNAS KARTIKA; SMA HARAPAN MEDAN; SMA NEGERI 24 JAKARTA; UNIVERSITAS SYIAH KUALA BANDA ACEH; UNIVERSITAS PEMBANGUNAN PANCA BUDI,,
Sofyan Tan,Sumatera Utara I,PDI-P,DPR RI,SD Jaya Lama Medan; SMP Jaya Lama Medan; SMA Sutomo Medan; UNIV. Methodist Indonesia Medan,,
Yasonna Laoly,Sumatera Utara I,PDI-P,DPR RI; Menteri Hukum dan Hak Asasi Manusia Indonesia ke-30,SR KATOLIK SIBOLGA; SMP SIBOLGA; SMA KATOLIK SIBOLGA; UNIVERSITAS SUM-UT; VIRGINIA COMMON WEALTH UNIV; NORTH CAROLINA STATE UNIV,,
Musa Rajekshah,Sumatera Utara I,Golkar,DPR RI; Wakil Gubernur Sumatera Utara ke-9,SD Harapan Medan; SMP Harapan Medan; SMA Harapan Medan; Universitas Islam Sumatera Utara; Universitas Sumatera Utara,,
Raline Shah,,,Artis,,,
Marzuki Ali Basyah,,,Perwira Tinggi Kepolisian Negara Republik Indonesia,,,
Musannif,,,Pemiliki Group Anugerah Langkat Makmur (ALAM),,,
Meutya Hafid,,,DPR RI; Menteri Komunikasi dan Digital Indonesia ke-8,,,
Maruli Siahaan,Sumatera Utara I,Golkar,DPR RI,SD Lobu Siregar; SMP Siborongborong; STM Negeri II Medan; Universitas Darma Agung Medan; Universitas Jayabaya Jakarta; Universitas Brawijaya Malang,,
Prananda Surya Paloh,Sumatera Utara I,NasDem,DPR RI,Pelita Harapan; United World College Of South East Asia Singapore; ISS Internasional School Singapore; Monash University,,
Reino Barack,,,Pengusaha,,,
Surya Paloh,,,Ketua Umum Partai NasDem Ke-2; Anggota Majelis Permusyawaratan Rakyat; Direktur Utama Metro TV,,,
Tifatul Sembiring,Sumatera Utara I,PKS,DPR RI; Menteri Komunikasi dan Informatika Indonesia ke-4; Presiden Partai Keadilan Sejahtera ke-3,SDN 10 Bukittinggi; SMPN 40 Jakarta; STM Pembangunan; Sekolah Tinggi Ilmu Manajemen Informatika dan Komputer,,
Muhammad Lokot Nasution,Sumatera Utara I,Demokrat,DPR RI,SD Islam Azizi; SMP N 11 Medan; SMA N 3 Medan; Sekolah Tinggi Transportasi Darat; Institut Teknologi Budi Utomo,,
Marwan Dasopang,Sumatera Utara II,PKB,DPR RI,SD N Rondaman; Madrasah Tsanawiyah Ar Rosidia; Pesantren Al-Mukhtariyah; IAIN Sumatera Utara; Krisna Dwi Payana,,
Gus Irawan Pasaribu,Sumatera Utara II,Gerindra,DPR RI; Bupati Tapanuli Selatan ke-22; Ketua DPD Partai Gerindra Sumatera Utara,SD Negeri 7 Padangsidimpuan; SMP Negeri 1 Medan; SMA Negeri 1 Medan; Universitas Syiah Kuala; Universitas Sumatera Utara,,
Bomer Pasaribu,,,Duta Besar Indonesia untuk Denmark ke-11; Menteri Tenaga Kerja Indonesia ke-21; DPR RI; DPRD Provinsi Sumatera Utara,,,
Panusunan Pasaribu,,,Bupati Tapanuli Tengah ke-15,,,
Syahrul M. Pasaribu,,,Bupati Tapanuli Selatan ke-20,,,
Dolly Putra Parlindungan Pasaribu,,,Bupati Tapanuli Selatan ke-21; DPRD Kabupaten Tapanuli Selatan,,,
Sabam Rajagukguk,Sumatera Utara II,Gerindra,DPR RI,SD TARAKANITA; American Embassy School; Valley Force Military Academy ,,
Adolf Sahala Rajagukguk,,,Wakil Kepala Staf TNI Angkatan Darat,,,
Rapidin Simbolon,Sumatera Utara II,PDI-P,DPR RI; Ketua DPD PDI Perjuangan Sumatera Utara; Bupati Samosir ke-2; Wakil Bupati Samosir ke-3,SMA Negeri Pangururan Kab Taput; Institut Keguruan dan Ilmu Pendidikan Medan; Universitas Trisakti,,
Sihar Sitorus,Sumatera Utara II,PDI-P,DPR RI,SD Jakarta; SMP Jakarta; SMA Pangudi Luhur; University of Arizona; Creighton University Ohama; Strathclyde University; Manchester Businees School,,
D.L. Sitorus,,,Pengusaha,,,
Lamhot Sinaga,Sumatera Utara II,Golkar,DPR RI,SD Bintang Kejora; SMP Santo Yosef; SMA Swasta Pribadi; Universitas Sultan Ageng Tirtayasa,,
Andar Amin Harahap,Sumatera Utara II,Golkar,DPR RI; Bupati Padang Lawas Utara ke-2; Wali Kota Padangsidimpuan ke-2,SD Negeri 26 Padangsidimpuan; SMP Negeri 4 Padangsidimpuan; SMA Negeri 2 Padangsidimpuan; SEKOLAH TINGGI ILMU PEMERINTAHAN DALAM NEGRI; INSTITUT PEMERINTAHAN DALAM NEGRI,,
Reski Basyah Harahap,,,Bupati Padang Lawas Utara Ke-3,,,
Bachrum Harahap,,,Bupati Padang Lawas Utara Ke-1; Ketua DPRD Tapanuli Selatan,,,
Trinovi Khairani Sitorus,Sumatera Utara II,Golkar,DPR RI,SD Al-Azhar Medan; SMP Shafiyyatul Amaliyah; SMA Shafiyyatul Amaliyah; Lim Kok Wing University ,,
Hendri Yanto Sitorus,,,Bupati Labuhanbatu Utara ke-2,,,
Khairuddin Syah Sitorus,,,Bupati Labuhanbatu Utara 1,,,
Martin Manurung,Sumatera Utara II,NasDem,DPR RI,SD Tarakanita 2; SMP Tarakanita 1; SMA Negeri 37 Jakarta; Universitas Indonesia; Universitas East Anglia,,
Saleh Partaonan Daulay,Sumatera Utara II,PAN,DPR RI,"SDN 2 Sibuhuan; MTsN YAPI Sibuhuan; MAN I Medan; 
Universitas Sumatera Utara; UIN Syahid Jakarta; Universitas Indonesia; Colorado State University",,
Sabam Sinaga,Sumatera Utara II,Demokrat,DPR RI,SDN 030285 Sidikalang; SMPN 1 Sidikalang; SMAN 1 Sidikalang; IKIP Medan; STIE Nusantara,,
Sugiat Santoso,Sumatera Utara III,Gerindra,DPR RI,SDN 2 KUALA; SMPN 1 KUALA; SMAN 1 KUALA; STIE AL HIKMAH MEDAN; Universitas Sumatera Utara,,
